epoch (ms),time (18:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1535604063103,2018-08-30T13:41:03.103,25.064,-0.100,0.948,0.216
1535604063103,2018-08-30T13:41:03.103,25.064,-0.079,0.806,0.317
1535604063351,2018-08-30T13:41:03.351,25.312,0.027,0.772,0.393
1535604063351,2018-08-30T13:41:03.351,25.312,-0.037,0.892,0.369
1535604063351,2018-08-30T13:41:03.351,25.312,-0.101,1.200,0.399
1535604063600,2018-08-30T13:41:03.600,25.561,-0.197,0.952,0.306
1535604063600,2018-08-30T13:41:03.600,25.561,-0.188,0.840,0.204
1535604063600,2018-08-30T13:41:03.600,25.561,-0.184,0.900,0.231
1535604063835,2018-08-30T13:41:03.835,25.796,-0.163,0.734,0.255
1535604063835,2018-08-30T13:41:03.835,25.796,-0.217,0.832,0.387
1535604063835,2018-08-30T13:41:03.835,25.796,-0.108,0.939,0.318
1535604064082,2018-08-30T13:41:04.082,26.043,-0.236,1.206,0.382
1535604064082,2018-08-30T13:41:04.082,26.043,-0.037,1.002,0.300
1535604064082,2018-08-30T13:41:04.082,26.043,0.009,0.726,0.143
1535604064318,2018-08-30T13:41:04.318,26.279,-0.093,0.979,0.208
1535604064318,2018-08-30T13:41:04.318,26.279,-0.041,0.847,0.294
1535604064318,2018-08-30T13:41:04.318,26.279,-0.035,0.768,0.308
1535604064566,2018-08-30T13:41:04.566,26.527,-0.051,0.866,0.306
1535604064566,2018-08-30T13:41:04.566,26.527,-0.084,1.097,0.360
1535604064566,2018-08-30T13:41:04.566,26.527,-0.136,1.196,0.360
1535604064814,2018-08-30T13:41:04.814,26.775,-0.263,0.770,0.232
1535604064814,2018-08-30T13:41:04.814,26.775,-0.204,0.926,0.206
1535604064814,2018-08-30T13:41:04.814,26.775,-0.125,0.769,0.254
1535604065049,2018-08-30T13:41:05.049,27.010,-0.140,0.733,0.299
1535604065049,2018-08-30T13:41:05.049,27.010,-0.154,0.876,0.338
1535604065049,2018-08-30T13:41:05.049,27.010,-0.140,1.016,0.407
1535604065297,2018-08-30T13:41:05.297,27.258,-0.203,1.158,0.417
1535604065297,2018-08-30T13:41:05.297,27.258,-0.033,0.970,0.264
1535604065297,2018-08-30T13:41:05.297,27.258,0.008,0.839,0.177
1535604065533,2018-08-30T13:41:05.533,27.494,-0.152,0.922,0.247
1535604065533,2018-08-30T13:41:05.533,27.494,-0.061,0.770,0.313
1535604065533,2018-08-30T13:41:05.533,27.494,0.010,0.758,0.351
1535604065782,2018-08-30T13:41:05.782,27.743,-0.042,0.848,0.373
1535604065782,2018-08-30T13:41:05.782,27.743,-0.099,1.010,0.405
1535604065782,2018-08-30T13:41:05.782,27.743,-0.170,1.218,0.434
1535604066028,2018-08-30T13:41:06.028,27.989,-0.259,0.757,0.260
1535604066028,2018-08-30T13:41:06.028,27.989,-0.220,0.933,0.210
1535604066028,2018-08-30T13:41:06.028,27.989,-0.127,0.822,0.209
1535604066265,2018-08-30T13:41:06.265,28.226,-0.164,0.739,0.257
1535604066265,2018-08-30T13:41:06.265,28.226,-0.206,0.867,0.276
1535604066265,2018-08-30T13:41:06.265,28.226,-0.179,1.017,0.339
1535604066525,2018-08-30T13:41:06.525,28.486,-0.194,1.121,0.419
1535604066525,2018-08-30T13:41:06.525,28.486,-0.092,1.070,0.301
1535604066525,2018-08-30T13:41:06.525,28.486,-0.035,0.695,0.189
1535604066847,2018-08-30T13:41:06.847,28.808,-0.148,0.999,0.199
1535604066847,2018-08-30T13:41:06.847,28.808,-0.084,0.837,0.315
1535604066847,2018-08-30T13:41:06.847,28.808,-0.038,0.731,0.337
1535604066996,2018-08-30T13:41:06.996,28.957,-0.039,0.796,0.346
1535604066996,2018-08-30T13:41:06.996,28.957,-0.083,1.036,0.410
1535604066996,2018-08-30T13:41:06.996,28.957,-0.194,1.217,0.457
1535604067417,2018-08-30T13:41:07.417,29.378,-0.257,0.727,0.255
1535604067417,2018-08-30T13:41:07.417,29.378,-0.193,0.929,0.218
1535604067417,2018-08-30T13:41:07.417,29.378,-0.169,0.790,0.243
